text,language,part_of_speech,frequency,topics,translation_en,example_sentence,example_translation
maison,fr,noun,high,"home,basics",house,Je vis dans cette maison.,I live in this house.
eau,fr,noun,high,"food,basics",water,Je voudrais un verre d'eau.,I would like a glass of water.
manger,fr,verb,high,"food,basics",to eat,On va manger ensemble.,We're going to eat together.
bon,fr,adjective,high,basics,good,Le film était très bon.,The movie was very good.
jour,fr,noun,high,"time,basics",day,C'est une belle journée.,It's a beautiful day.
faire,fr,verb,high,basics,to do/make,Qu'est-ce que tu veux faire?,What do you want to do?
aller,fr,verb,high,"travel,basics",to go,Je vais au marché.,I'm going to the market.
parler,fr,verb,high,"conversation,basics",to speak,Il parle français.,He speaks French.
temps,fr,noun,high,"time,weather",time/weather,Le temps est beau aujourd'hui.,The weather is nice today.
personne,fr,noun,high,basics,person,C'est une bonne personne.,She's a good person.
travail,fr,noun,high,"work,basics",work,Mon travail est intéressant.,My work is interesting.
ville,fr,noun,high,"travel,places",city,Paris est une grande ville.,Paris is a big city.
ami,fr,noun,high,"people,basics",friend,Il est mon meilleur ami.,He is my best friend.
livre,fr,noun,medium,"education,culture",book,Je lis un livre.,I'm reading a book.
nourriture,fr,noun,medium,"food,basics",food,La nourriture française est délicieuse.,French food is delicious.
nuit,fr,noun,high,"time,basics",night,Bonne nuit à tous.,Good night everyone.
école,fr,noun,high,"education,places",school,Les enfants vont à l'école.,The children go to school.
argent,fr,noun,high,"money,basics",money,Je n'ai pas assez d'argent.,I don't have enough money.
problème,fr,noun,high,basics,problem,Ce n'est pas un problème.,That is not a problem.
cœur,fr,noun,medium,"body,emotions",heart,Mon cœur est heureux.,My heart is happy.
plage,fr,noun,medium,"travel,nature",beach,On va à la plage samedi.,Let's go to the beach on Saturday.
beau,fr,adjective,medium,basics,beautiful,Quel beau paysage!,What a beautiful landscape!
pluie,fr,noun,medium,"weather,nature",rain,La pluie ne s'arrête pas.,The rain doesn't stop.
fenêtre,fr,noun,medium,"home,basics",window,Ouvre la fenêtre s'il te plaît.,Open the window please.
musique,fr,noun,medium,"culture,entertainment",music,J'adore la musique française.,I love French music.
dormir,fr,verb,high,basics,to sleep,J'ai besoin de dormir tôt.,I need to sleep early.
café,fr,noun,high,"food,culture",coffee,Je veux un café fort.,I want a strong coffee.
rue,fr,noun,high,"places,basics",street,La rue est animée.,The street is busy.
fils,fr,noun,high,"family,basics",son,Mon fils a cinq ans.,My son is five years old.
mère,fr,noun,high,"family,basics",mother,Ma mère cuisine bien.,My mother cooks well.
père,fr,noun,high,"family,basics",father,Mon père travaille ici.,My father works here.
frère,fr,noun,high,"family,basics",brother,J'ai un frère aîné.,I have an older brother.
voiture,fr,noun,high,"transport,basics",car,La voiture est rouge.,The car is red.
porte,fr,noun,medium,"home,basics",door,Ferme la porte.,Close the door.
vert,fr,adjective,medium,"colors,nature",green,Le jardin est très vert.,The garden is very green.
chaud,fr,adjective,medium,"weather,basics",hot,Il fait très chaud aujourd'hui.,It's very hot today.
froid,fr,adjective,medium,"weather,basics",cold,L'hiver est froid.,Winter is cold.
commencer,fr,verb,medium,basics,to begin,On va commencer maintenant.,Let's begin now.
comprendre,fr,verb,medium,"conversation,basics",to understand,Je ne comprends pas ce mot.,I don't understand this word.
aider,fr,verb,medium,basics,to help,Je peux t'aider?,Can I help you?
merci,fr,interjection,high,"conversation,basics",thank you,Merci beaucoup pour l'aide.,Thank you very much for the help.
plaisir,fr,noun,medium,"conversation,basics",pleasure,Enchanté de vous rencontrer.,Pleased to meet you.
histoire,fr,noun,medium,"education,culture",history/story,L'histoire de France est riche.,France's history is rich.
église,fr,noun,medium,"places,culture",church,L'église est ancienne.,The church is old.
marché,fr,noun,high,"places,shopping",market,Je vais au marché acheter des fruits.,I'm going to the market to buy fruit.
médecin,fr,noun,medium,"health,people",doctor,Je dois aller chez le médecin.,I need to go to the doctor.
heureux,fr,adjective,high,"emotions,basics",happy,Je suis très heureux aujourd'hui.,I'm very happy today.
triste,fr,adjective,medium,emotions,sad,Il est triste.,He is sad.
fromage,fr,noun,medium,"food,culture",cheese,Le fromage français est célèbre.,French cheese is famous.
pain,fr,noun,high,"food,basics",bread,J'achète du pain chaque matin.,I buy bread every morning.
