text,language,part_of_speech,frequency,topics,translation_en,example_sentence,example_translation
casa,pt,noun,high,"home,basics",house,Eu moro nessa casa.,I live in this house.
água,pt,noun,high,"food,basics",water,Quero um copo de água.,I want a glass of water.
comer,pt,verb,high,"food,basics",to eat,Vamos comer juntos.,Let's eat together.
bom,pt,adjective,high,basics,good,O filme foi muito bom.,The movie was very good.
dia,pt,noun,high,"time,basics",day,Hoje é um belo dia.,Today is a beautiful day.
fazer,pt,verb,high,basics,to do/make,O que você quer fazer?,What do you want to do?
ir,pt,verb,high,"travel,basics",to go,Vou ir ao mercado.,I'm going to the market.
falar,pt,verb,high,"conversation,basics",to speak,Ele fala português.,He speaks Portuguese.
tempo,pt,noun,high,"time,weather",time/weather,O tempo está bom hoje.,The weather is nice today.
pessoa,pt,noun,high,basics,person,Ela é uma boa pessoa.,She is a good person.
trabalho,pt,noun,high,"work,basics",work,Meu trabalho é interessante.,My work is interesting.
cidade,pt,noun,high,"travel,places",city,São Paulo é uma grande cidade.,São Paulo is a big city.
amigo,pt,noun,high,"people,basics",friend,Ele é meu melhor amigo.,He is my best friend.
livro,pt,noun,medium,"education,culture",book,Estou lendo um livro.,I'm reading a book.
comida,pt,noun,high,"food,basics",food,A comida brasileira é deliciosa.,Brazilian food is delicious.
noite,pt,noun,high,"time,basics",night,Boa noite a todos.,Good night everyone.
escola,pt,noun,high,"education,places",school,As crianças vão à escola.,The children go to school.
dinheiro,pt,noun,high,"money,basics",money,Não tenho dinheiro suficiente.,I don't have enough money.
problema,pt,noun,high,basics,problem,Isso não é um problema.,That is not a problem.
coração,pt,noun,medium,"body,emotions",heart,Meu coração está feliz.,My heart is happy.
saudade,pt,noun,medium,"emotions,culture",longing/nostalgia,Tenho saudade de casa.,I miss home.
praia,pt,noun,medium,"travel,nature",beach,Vamos à praia no sábado.,Let's go to the beach on Saturday.
bonito,pt,adjective,medium,basics,beautiful,Que lugar bonito!,What a beautiful place!
chuva,pt,noun,medium,"weather,nature",rain,A chuva não para.,The rain doesn't stop.
janela,pt,noun,medium,"home,basics",window,Abra a janela por favor.,Open the window please.
música,pt,noun,medium,"culture,entertainment",music,Adoro música brasileira.,I love Brazilian music.
dormir,pt,verb,high,basics,to sleep,Preciso dormir cedo.,I need to sleep early.
café,pt,noun,high,"food,culture",coffee,Quero um café forte.,I want a strong coffee.
rua,pt,noun,high,"places,basics",street,A rua está movimentada.,The street is busy.
filho,pt,noun,high,"family,basics",son,Meu filho tem cinco anos.,My son is five years old.
mãe,pt,noun,high,"family,basics",mother,Minha mãe cozinha bem.,My mother cooks well.
pai,pt,noun,high,"family,basics",father,Meu pai trabalha aqui.,My father works here.
irmão,pt,noun,high,"family,basics",brother,Tenho um irmão mais velho.,I have an older brother.
carro,pt,noun,high,"transport,basics",car,O carro é vermelho.,The car is red.
porta,pt,noun,medium,"home,basics",door,Feche a porta.,Close the door.
verde,pt,adjective,medium,"colors,nature",green,O Brasil é muito verde.,Brazil is very green.
quente,pt,adjective,medium,"weather,basics",hot,Está muito quente hoje.,It's very hot today.
frio,pt,adjective,medium,"weather,basics",cold,O inverno é frio.,Winter is cold.
começar,pt,verb,medium,basics,to begin,Vamos começar agora.,Let's begin now.
entender,pt,verb,medium,"conversation,basics",to understand,Não entendo essa palavra.,I don't understand this word.
ajudar,pt,verb,medium,basics,to help,Posso te ajudar?,Can I help you?
obrigado,pt,interjection,high,"conversation,basics",thank you,Muito obrigado pela ajuda.,Thank you very much for the help.
prazer,pt,noun,medium,"conversation,basics",pleasure,Muito prazer em conhecê-lo.,Pleased to meet you.
história,pt,noun,medium,"education,culture",history/story,A história do Brasil é rica.,Brazil's history is rich.
igreja,pt,noun,medium,"places,culture",church,A igreja é antiga.,The church is old.
mercado,pt,noun,high,"places,shopping",market,Vou ao mercado comprar frutas.,I'm going to the market to buy fruit.
médico,pt,noun,medium,"health,people",doctor,Preciso ir ao médico.,I need to go to the doctor.
feliz,pt,adjective,high,"emotions,basics",happy,Estou muito feliz hoje.,I'm very happy today.
triste,pt,adjective,medium,emotions,sad,Ele está triste.,He is sad.
lindo,pt,adjective,medium,basics,lovely/gorgeous,Que dia lindo!,What a lovely day!
